,Date,CS-Aaa-3MO,CS-Aa-3MO,CS-A-3MO,CS-Baa-3MO,CS-Agg-3MO,CS-Aaa-1YR,CS-Aaa-1YR.1,CS-Aa-1YR,CS-Baa-1YR,CS-Agg-1YR,CS-Aaa-5YR,CS-Aa-5YR,CS-A-5YR,CS-Baa-5YR,CS-Agg-5YR,3MO-TY,1YR-TY,5YR-TY
0,,,,,,,,,,,,,,,,,,,
1,28 days 00:00:00.000000000,0.42500000000000004,0.32899999999999996,0.34999999999999987,0.30699999999999994,0.31299999999999994,0.23499999999999988,0.139,0.15999999999999992,0.11699999999999977,0.123,-0.05499999999999994,-0.15100000000000002,-0.1299999999999999,-0.17300000000000004,-0.16699999999999993,0.17999999999999972,0.3700000000000001,0.6600000000000001
2,31 days 00:00:00.000000000,0.15399999999999991,0.127,0.10699999999999998,0.052000000000000046,0.12200000000000011,0.14400000000000013,0.11699999999999999,0.09699999999999998,0.04200000000000026,0.1120000000000001,0.07399999999999984,0.04699999999999993,0.026999999999999913,-0.028000000000000025,0.04200000000000004,-0.16999999999999993,-0.16000000000000014,-0.08999999999999986
3,30 days 00:00:00.000000000,0.008000000000000007,-0.0030000000000001137,0.02300000000000013,-0.03500000000000014,-0.014000000000000012,0.008000000000000007,-0.0030000000000001137,0.02300000000000013,-0.03500000000000014,-0.014000000000000012,-0.051999999999999935,-0.06299999999999994,-0.03699999999999992,-0.09499999999999997,-0.07400000000000007,0.05999999999999961,0.0600000000000005,0.1200000000000001
4,31 days 00:00:00.000000000,0.12399999999999989,0.19300000000000006,0.17400000000000015,0.18299999999999983,0.14700000000000002,0.038999999999999924,0.1080000000000001,0.08899999999999997,0.09799999999999986,0.062000000000000055,-0.14100000000000001,-0.07199999999999995,-0.09100000000000019,-0.08200000000000007,-0.118,0.16500000000000004,0.2499999999999991,0.4299999999999997
5,30 days 00:00:00.000000000,0.06800000000000006,0.127,0.12799999999999967,0.11900000000000022,0.08499999999999996,0.09299999999999997,0.1519999999999999,0.15300000000000002,0.14400000000000013,0.10999999999999988,0.133,0.19200000000000006,0.19300000000000006,0.18400000000000016,0.15000000000000002,0.06500000000000039,0.040000000000000924,0.0
6,31 days 00:00:00.000000000,0.19100000000000006,0.2619999999999998,0.2400000000000002,0.2240000000000002,0.22899999999999987,0.10099999999999998,0.17199999999999993,0.15000000000000013,0.1339999999999999,0.139,0.01100000000000001,0.08199999999999985,0.06000000000000005,0.04399999999999982,0.049000000000000044,-0.03000000000000025,0.05999999999999961,0.15000000000000036
7,31 days 00:00:00.000000000,-0.050000000000000044,-0.09799999999999986,-0.06099999999999994,-0.03300000000000036,-0.10299999999999998,0.010000000000000009,-0.03799999999999981,-0.001000000000000334,0.027000000000000135,-0.04299999999999993,0.1200000000000001,0.07200000000000006,0.10899999999999999,0.137,0.06699999999999995,0.23000000000000043,0.16999999999999993,0.05999999999999961
8,30 days 00:00:00.000000000,-0.014999999999999902,-0.03200000000000003,0.008999999999999897,0.038000000000000256,-0.0239999999999998,-0.03499999999999992,-0.052000000000000046,-0.010999999999999677,0.017999999999999794,-0.04400000000000004,-0.015000000000000124,-0.03200000000000003,0.008999999999999897,0.038000000000000034,-0.02400000000000002,-0.10000000000000053,-0.08000000000000007,-0.09999999999999964
9,31 days 00:00:00.000000000,-0.18300000000000005,-0.21599999999999997,-0.23499999999999988,-0.17799999999999994,-0.18500000000000005,-0.15300000000000002,-0.18599999999999994,-0.20500000000000007,-0.1479999999999997,-0.15500000000000003,-0.1329999999999999,-0.16599999999999993,-0.18499999999999983,-0.1279999999999999,-0.135,0.2400000000000002,0.20999999999999996,0.1899999999999995
10,30 days 00:00:00.000000000,-0.03699999999999992,-0.06299999999999994,-0.06400000000000006,-0.06899999999999995,-0.051000000000000156,-0.127,-0.15300000000000002,-0.15400000000000014,-0.15900000000000025,-0.14100000000000001,0.0030000000000000027,-0.02300000000000013,-0.02400000000000002,-0.029000000000000137,-0.01100000000000001,0.17999999999999972,0.27000000000000046,0.14000000000000057
11,31 days 00:00:00.000000000,0.2729999999999999,0.20000000000000018,0.19799999999999995,0.1599999999999997,0.19100000000000006,0.02300000000000013,-0.050000000000000044,-0.052000000000000046,-0.08999999999999986,-0.05899999999999994,0.052999999999999936,-0.020000000000000018,-0.02200000000000002,-0.05999999999999983,-0.028999999999999915,0.03000000000000025,0.28000000000000025,0.25
12,31 days 00:00:00.000000000,-0.258,-0.13700000000000023,-0.2120000000000002,-0.30200000000000005,-0.18199999999999994,-0.14800000000000013,-0.026999999999999913,-0.10199999999999987,-0.19199999999999995,-0.07200000000000006,-0.17799999999999994,-0.05699999999999994,-0.13200000000000012,-0.2220000000000002,-0.10200000000000009,0.4299999999999997,0.3199999999999994,0.34999999999999964
13,29 days 00:00:00.000000000,-0.13200000000000012,-0.08199999999999985,-0.052999999999999936,-0.06899999999999995,-0.119,-0.01200000000000001,0.03799999999999981,0.06699999999999995,0.050999999999999934,0.001000000000000112,-0.01200000000000001,0.038000000000000034,0.06700000000000017,0.051000000000000156,0.0010000000000000009,0.020000000000000462,-0.09999999999999964,-0.09999999999999964
14,31 days 00:00:00.000000000,-0.123,-0.16700000000000004,-0.16100000000000003,-0.0040000000000000036,-0.19399999999999995,-0.10299999999999998,-0.14700000000000002,-0.14100000000000001,0.016000000000000014,-0.17400000000000004,0.2669999999999999,0.2230000000000001,0.22899999999999987,0.3859999999999999,0.19600000000000006,0.09999999999999964,0.08000000000000007,-0.29000000000000004
15,30 days 00:00:00.000000000,1.1570000000000003,0.25,0.29899999999999993,0.39800000000000013,0.242,1.1370000000000002,0.2300000000000002,0.2789999999999999,0.3780000000000001,0.22199999999999986,0.857,-0.050000000000000044,-0.0009999999999998899,0.09799999999999986,-0.05800000000000005,-0.05999999999999961,-0.040000000000000036,0.23999999999999932
16,31 days 00:00:00.000000000,-0.6940000000000002,0.3769999999999998,0.351,0.355,0.31499999999999995,-1.0140000000000002,0.05699999999999994,0.03100000000000014,0.0349999999999997,-0.004999999999999893,-0.8639999999999999,0.20699999999999985,0.18100000000000005,0.18500000000000005,0.14500000000000002,-0.1900000000000004,0.1299999999999999,-0.019999999999999574
17,30 days 00:00:00.000000000,-0.4909999999999999,-0.5149999999999999,-0.5429999999999997,-0.617,-0.534,0.04899999999999993,0.02499999999999991,-0.0030000000000001137,-0.07699999999999996,0.006000000000000005,0.119,0.0950000000000002,0.06699999999999995,-0.006999999999999673,0.07599999999999996,0.25,-0.29000000000000004,-0.3600000000000003
18,31 days 00:00:00.000000000,-0.4850000000000001,-0.4869999999999999,-0.4790000000000001,-0.472,-0.43399999999999994,-0.08499999999999996,-0.08699999999999997,-0.07899999999999996,-0.07200000000000006,-0.03400000000000003,-0.07499999999999996,-0.07700000000000018,-0.06899999999999995,-0.06200000000000028,-0.02400000000000002,0.3899999999999997,-0.009999999999999787,-0.019999999999999574
19,31 days 00:00:00.000000000,-0.19299999999999995,-0.20399999999999996,-0.19799999999999995,-0.19500000000000006,-0.21000000000000008,-0.30299999999999994,-0.31400000000000006,-0.30800000000000005,-0.3049999999999997,-0.31999999999999995,0.026999999999999913,0.016000000000000014,0.021999999999999797,0.02499999999999991,0.010000000000000009,0.040000000000000036,0.14999999999999947,-0.17999999999999972
20,30 days 00:00:00.000000000,0.008000000000000007,-0.03100000000000014,-0.0030000000000001137,0.08299999999999996,0.019000000000000017,0.07799999999999996,0.039000000000000146,0.06700000000000017,0.15300000000000002,0.08899999999999997,0.05800000000000005,0.019000000000000128,0.04700000000000015,0.133,0.06900000000000017,-0.07999999999999918,-0.14999999999999947,-0.13000000000000078
21,31 days 00:00:00.000000000,-0.15400000000000003,-0.12399999999999989,-0.05400000000000005,0.13200000000000012,-0.14900000000000002,-0.05399999999999994,-0.02400000000000002,0.04599999999999982,0.23199999999999976,-0.049000000000000044,0.016000000000000014,0.04600000000000004,0.11599999999999988,0.30200000000000005,0.020999999999999908,0.14999999999999947,0.04999999999999982,-0.019999999999999574
22,30 days 00:00:00.000000000,-0.09899999999999998,-0.006000000000000005,0.03100000000000014,0.07200000000000006,-0.05399999999999994,-0.06900000000000006,0.02400000000000002,0.061000000000000165,0.10200000000000031,-0.02400000000000002,0.14100000000000001,0.23399999999999999,0.2709999999999999,0.3120000000000003,0.18599999999999994,-0.16999999999999993,-0.20000000000000018,-0.41000000000000014
23,31 days 00:00:00.000000000,-0.09200000000000003,-0.128,0.06600000000000006,0.020000000000000018,0.01100000000000001,0.18800000000000006,0.1519999999999999,0.34599999999999986,0.2999999999999998,0.29100000000000015,0.018000000000000016,-0.018000000000000016,0.17600000000000016,0.1299999999999999,0.121,-0.3200000000000003,-0.5999999999999996,-0.4299999999999997
24,31 days 00:00:00.000000000,0.451,0.5019999999999999,0.399,0.4209999999999998,0.5899999999999999,0.2709999999999999,0.32200000000000006,0.21899999999999986,0.2410000000000001,0.4099999999999999,-0.30900000000000016,-0.258,-0.361,-0.33899999999999997,-0.16999999999999993,-0.8999999999999995,-0.7200000000000006,-0.14000000000000057
25,28 days 00:00:00.000000000,-0.052000000000000046,-0.018999999999999906,0.053999999999999826,0.03000000000000025,0.050000000000000044,-0.06199999999999983,-0.029000000000000137,0.04400000000000004,0.020000000000000018,0.040000000000000036,-0.04200000000000004,-0.009000000000000119,0.06400000000000006,0.040000000000000036,0.06000000000000005,-0.14000000000000057,-0.1299999999999999,-0.14999999999999947
26,31 days 00:00:00.000000000,0.548,0.4869999999999999,0.4870000000000001,0.45999999999999996,0.504,0.3779999999999999,0.31700000000000017,0.31700000000000017,0.29000000000000004,0.33399999999999985,0.07800000000000007,0.017000000000000126,0.016999999999999904,-0.010000000000000231,0.03400000000000003,-0.5499999999999998,-0.3799999999999999,-0.08000000000000007
27,30 days 00:00:00.000000000,0.4889999999999999,0.4580000000000002,0.472,0.4509999999999996,0.5010000000000001,0.2889999999999999,0.2579999999999998,0.2719999999999998,0.2509999999999999,0.30099999999999993,-0.21099999999999997,-0.242,-0.22799999999999998,-0.2490000000000001,-0.19900000000000007,-0.34999999999999964,-0.1499999999999999,0.34999999999999964
28,31 days 00:00:00.000000000,0.2110000000000003,0.2829999999999999,0.2410000000000001,0.24400000000000022,0.29400000000000004,0.2010000000000003,0.27300000000000013,0.23100000000000032,0.23399999999999999,0.28400000000000025,-0.07899999999999996,-0.007000000000000117,-0.04899999999999993,-0.04599999999999982,0.0040000000000000036,-0.3200000000000003,-0.31000000000000005,-0.02999999999999936
29,30 days 00:00:00.000000000,0.07499999999999973,-0.021999999999999797,0.0040000000000000036,-0.03799999999999981,0.022999999999999687,0.004999999999999893,-0.09200000000000008,-0.06600000000000028,-0.1080000000000001,-0.04700000000000015,0.06499999999999995,-0.03200000000000003,-0.006000000000000005,-0.04800000000000004,0.0129999999999999,0.020000000000000018,0.0900000000000003,0.02999999999999936
30,31 days 00:00:00.000000000,-0.34199999999999986,-0.3570000000000002,-0.3330000000000002,-0.30600000000000005,-0.2759999999999998,-0.262,-0.27700000000000014,-0.25299999999999967,-0.22599999999999998,-0.19599999999999973,-0.052000000000000046,-0.06699999999999995,-0.04300000000000015,-0.016000000000000014,0.014000000000000012,-0.10999999999999988,-0.1900000000000004,-0.39999999999999947
31,31 days 00:00:00.000000000,0.03399999999999981,0.017999999999999794,-0.0040000000000000036,0.08999999999999986,0.040999999999999925,-0.016000000000000014,-0.031999999999999584,-0.05400000000000027,0.040000000000000036,-0.009000000000000341,-0.025999999999999912,-0.04200000000000004,-0.06399999999999983,0.03000000000000025,-0.018999999999999906,-0.16999999999999993,-0.11999999999999966,-0.11000000000000032
32,30 days 00:00:00.000000000,0.736,0.7330000000000001,0.9540000000000002,1.1429999999999998,0.6630000000000003,0.6859999999999999,0.6829999999999998,0.9039999999999999,1.093,0.613,0.29600000000000004,0.29300000000000015,0.5139999999999998,0.7029999999999998,0.22299999999999986,-0.9700000000000002,-0.9199999999999999,-0.5299999999999998
33,31 days 00:00:00.000000000,-0.17099999999999982,-0.05699999999999994,0.07899999999999974,0.0259999999999998,-0.04400000000000004,-0.10099999999999998,0.0129999999999999,0.14900000000000002,0.09600000000000009,0.026000000000000245,-0.2510000000000001,-0.137,-0.0009999999999998899,-0.053999999999999826,-0.12399999999999989,-0.3500000000000001,-0.4200000000000004,-0.27
34,30 days 00:00:00.000000000,0.5749999999999997,0.5699999999999998,0.5169999999999999,0.5410000000000004,0.7210000000000001,0.31499999999999995,0.31000000000000005,0.2570000000000001,0.2809999999999997,0.46099999999999985,-0.11499999999999999,-0.1200000000000001,-0.17300000000000004,-0.14900000000000002,0.030999999999999917,-0.2699999999999998,-0.009999999999999787,0.41999999999999993
35,31 days 00:00:00.000000000,0.3610000000000002,0.2160000000000002,0.258,0.20000000000000018,0.2519999999999998,0.21099999999999985,0.06599999999999984,0.1080000000000001,0.05000000000000071,0.10199999999999987,0.02100000000000002,-0.124,-0.08199999999999985,-0.14000000000000012,-0.08799999999999986,-0.040000000000000036,0.10999999999999988,0.2999999999999998
36,31 days 00:00:00.000000000,-0.03500000000000014,-0.04400000000000004,-0.08099999999999952,0.028999999999999915,-0.06800000000000006,-0.1349999999999998,-0.14399999999999968,-0.18100000000000005,-0.07100000000000062,-0.1679999999999997,-0.05499999999999994,-0.06399999999999995,-0.10099999999999998,0.008999999999999897,-0.08800000000000008,0.020000000000000018,0.1200000000000001,0.040000000000000036
37,28 days 00:00:00.000000000,-0.040000000000000036,-0.17399999999999993,-0.055000000000000604,-0.10099999999999998,-0.15700000000000003,0.029999999999999805,-0.10400000000000009,0.015000000000000124,-0.030999999999999694,-0.08700000000000019,0.1399999999999999,0.006000000000000005,0.125,0.07900000000000018,0.02299999999999991,0.030000000000000027,-0.040000000000000036,-0.15000000000000036
38,31 days 00:00:00.000000000,0.661,0.5710000000000002,0.4710000000000001,0.44700000000000006,0.49499999999999966,0.18100000000000005,0.09099999999999975,-0.008999999999999897,-0.03300000000000036,0.015000000000000124,0.01100000000000001,-0.07900000000000007,-0.17900000000000005,-0.2030000000000003,-0.15499999999999992,0.0,0.48,0.6500000000000004
39,30 days 00:00:00.000000000,-0.36999999999999966,-0.29200000000000026,-0.45699999999999985,0.15200000000000014,-0.33699999999999974,-0.009999999999999787,0.06800000000000006,-0.09700000000000042,0.5120000000000005,0.02300000000000013,0.0,0.07800000000000007,-0.08699999999999997,0.5220000000000002,0.03300000000000003,-0.020000000000000018,-0.3799999999999999,-0.3899999999999997
40,31 days 00:00:00.000000000,0.02499999999999991,-0.15399999999999991,-0.2450000000000001,-0.5209999999999999,-0.11799999999999988,0.004999999999999893,-0.17399999999999993,-0.2649999999999997,-0.5410000000000004,-0.13800000000000034,0.15500000000000003,-0.02400000000000002,-0.11499999999999999,-0.391,0.01200000000000001,-0.030000000000000027,-0.010000000000000231,-0.16000000000000014
41,30 days 00:00:00.000000000,-0.10200000000000031,-0.09799999999999986,-0.027000000000000135,0.23199999999999932,-0.10400000000000009,0.1379999999999999,0.1419999999999999,0.21300000000000008,0.4720000000000004,0.13600000000000012,0.1379999999999999,0.14200000000000002,0.21299999999999986,0.472,0.1359999999999999,-0.040000000000000036,-0.2799999999999998,-0.28000000000000025
42,31 days 00:00:00.000000000,-0.23499999999999988,-0.26300000000000034,-0.1389999999999998,0.25400000000000045,-0.31899999999999995,0.03500000000000014,0.007000000000000117,0.13099999999999978,0.524,-0.04899999999999993,0.3350000000000002,0.30699999999999994,0.43100000000000005,0.8239999999999998,0.2510000000000001,0.010000000000000009,-0.26,-0.56
43,31 days 00:00:00.000000000,-0.29400000000000004,-0.23899999999999988,-0.20799999999999974,-0.4800000000000004,-0.2559999999999998,-0.254,-0.19899999999999984,-0.16800000000000015,-0.4400000000000004,-0.2160000000000002,-0.0040000000000000036,0.050999999999999934,0.08199999999999985,-0.18999999999999995,0.03400000000000003,-0.020000000000000018,-0.06000000000000005,-0.3099999999999996
44,30 days 00:00:00.000000000,-0.1459999999999999,-0.3169999999999997,-0.20199999999999996,-0.11299999999999955,-0.2709999999999999,-0.05600000000000005,-0.2270000000000003,-0.11199999999999966,-0.022999999999999687,-0.18100000000000005,0.32399999999999984,0.15300000000000002,0.26800000000000024,0.35699999999999976,0.19899999999999984,-0.11999999999999988,-0.20999999999999996,-0.5900000000000003
45,31 days 00:00:00.000000000,0.30200000000000005,0.2559999999999998,0.5300000000000002,0.266,0.22899999999999965,0.242,0.19600000000000017,0.46999999999999975,0.20599999999999952,0.16900000000000004,-0.008000000000000007,-0.053999999999999826,0.21999999999999975,-0.043999999999999595,-0.08099999999999996,-0.13000000000000012,-0.07000000000000006,0.18000000000000016
46,30 days 00:00:00.000000000,0.3540000000000001,0.3620000000000001,0.03799999999999937,-0.22799999999999976,0.42300000000000004,0.03399999999999981,0.041999999999999815,-0.28200000000000003,-0.548,0.1030000000000002,-0.33599999999999985,-0.32800000000000007,-0.6519999999999997,-0.9180000000000001,-0.2669999999999999,-0.21999999999999997,0.10000000000000009,0.46999999999999975
47,31 days 00:00:00.000000000,-0.4750000000000001,-0.5209999999999999,-0.5299999999999998,-0.5420000000000007,-0.5329999999999999,-0.23499999999999988,-0.2809999999999997,-0.29000000000000004,-0.3019999999999996,-0.29300000000000015,0.02499999999999991,-0.02100000000000013,-0.03000000000000025,-0.041999999999999815,-0.03300000000000014,0.0,-0.24,-0.5
48,31 days 00:00:00.000000000,0.11699999999999999,0.07299999999999995,0.03100000000000014,-0.0009999999999994458,0.1379999999999999,0.08700000000000019,0.042999999999999705,0.001000000000000334,-0.030999999999999694,0.1080000000000001,-0.16300000000000003,-0.20699999999999985,-0.2489999999999999,-0.28100000000000014,-0.1419999999999999,-0.040000000000000036,-0.010000000000000009,0.2400000000000002
49,28 days 00:00:00.000000000,-0.2909999999999999,-0.28400000000000025,-0.31300000000000017,-0.3719999999999999,-0.32499999999999973,-0.20100000000000007,-0.19399999999999995,-0.2230000000000003,-0.28200000000000003,-0.23499999999999988,0.05900000000000016,0.06599999999999995,0.03699999999999992,-0.021999999999999797,0.02499999999999991,0.020000000000000018,-0.07000000000000006,-0.33000000000000007
50,31 days 00:00:00.000000000,0.020000000000000018,0.10200000000000031,0.15900000000000025,0.006999999999999673,0.1479999999999997,0.009999999999999787,0.09200000000000008,0.14900000000000002,-0.0030000000000001137,0.1379999999999999,-0.13000000000000012,-0.04800000000000004,0.009000000000000119,-0.14300000000000024,-0.0020000000000000018,-0.06000000000000005,-0.050000000000000044,0.08999999999999986
51,30 days 00:00:00.000000000,-0.1080000000000001,-0.14300000000000024,-0.27200000000000024,-0.32899999999999974,-0.10499999999999998,-0.1479999999999997,-0.18299999999999983,-0.31199999999999983,-0.36900000000000066,-0.14500000000000002,-0.18799999999999994,-0.22299999999999998,-0.3520000000000001,-0.4089999999999998,-0.18499999999999994,-0.010000000000000009,0.030000000000000027,0.07000000000000028
52,31 days 00:00:00.000000000,-0.3460000000000001,-0.42600000000000016,-0.45599999999999996,-0.49700000000000033,-0.47899999999999965,-0.27600000000000025,-0.3560000000000001,-0.3860000000000001,-0.4269999999999996,-0.4089999999999998,0.18399999999999994,0.10399999999999998,0.07400000000000007,0.03299999999999992,0.051000000000000045,-0.019999999999999796,-0.09000000000000008,-0.5500000000000003
53,30 days 00:00:00.000000000,0.2400000000000002,0.3390000000000004,0.30799999999999983,0.262,0.4429999999999996,0.07000000000000028,0.16899999999999982,0.1379999999999999,0.09200000000000008,0.2729999999999997,-0.1299999999999999,-0.030999999999999917,-0.062000000000000055,-0.1080000000000001,0.07299999999999995,-0.21000000000000008,-0.039999999999999813,0.16000000000000014
54,31 days 00:00:00.000000000,0.762,0.8069999999999999,0.6710000000000003,0.6840000000000002,0.8610000000000002,0.6319999999999997,0.677,0.5409999999999999,0.5539999999999998,0.7310000000000003,-0.09800000000000009,-0.05300000000000005,-0.18900000000000006,-0.17600000000000016,0.001000000000000112,0.05999999999999994,0.18999999999999995,0.9199999999999999
55,31 days 00:00:00.000000000,-0.05400000000000027,0.005999999999999783,-0.01200000000000001,-0.031000000000000583,-0.03699999999999992,-0.10399999999999965,-0.04400000000000004,-0.06199999999999983,-0.08099999999999952,-0.08700000000000019,-0.11399999999999999,-0.05400000000000005,-0.07199999999999984,-0.09099999999999975,-0.0970000000000002,0.020000000000000018,0.07000000000000006,0.08000000000000007
56,30 days 00:00:00.000000000,-0.5429999999999997,-0.9239999999999999,-0.7400000000000002,-0.5929999999999995,-0.4830000000000001,-0.3730000000000002,-0.754,-0.5699999999999998,-0.4230000000000005,-0.31300000000000017,0.03700000000000003,-0.344,-0.16000000000000014,-0.0129999999999999,0.0970000000000002,-0.030000000000000027,-0.20000000000000018,-0.6099999999999999
57,31 days 00:00:00.000000000,0.28600000000000003,0.3490000000000002,0.31099999999999994,0.2410000000000001,0.28500000000000014,0.13600000000000012,0.1990000000000003,0.16100000000000003,0.09100000000000019,0.13500000000000023,-0.124,-0.061,-0.09899999999999998,-0.16900000000000026,-0.1250000000000001,0.010000000000000009,0.16000000000000014,0.41999999999999993
58,30 days 00:00:00.000000000,0.10899999999999999,0.08499999999999996,0.08000000000000007,0.0,0.09799999999999986,-0.001000000000000334,-0.02499999999999991,-0.03000000000000025,-0.10999999999999988,-0.01200000000000001,-0.031000000000000028,-0.054999999999999966,-0.05999999999999994,-0.1399999999999999,-0.041999999999999926,-0.029999999999999916,0.07999999999999985,0.10999999999999988
59,31 days 00:00:00.000000000,-0.15100000000000025,-0.16100000000000003,-0.1519999999999997,-0.2290000000000001,-0.18599999999999994,-0.0009999999999998899,-0.01100000000000012,-0.0019999999999997797,-0.07900000000000018,-0.03600000000000003,-0.0010000000000000009,-0.01100000000000001,-0.0020000000000000018,-0.07899999999999996,-0.03600000000000003,0.019999999999999907,-0.1299999999999999,-0.1299999999999999
60,31 days 00:00:00.000000000,-0.04800000000000004,-0.04499999999999993,-0.06300000000000017,-0.07900000000000018,-0.052999999999999936,-0.09799999999999986,-0.0950000000000002,-0.11299999999999999,-0.129,-0.1030000000000002,0.0020000000000000018,0.0050000000000000044,-0.013000000000000012,-0.029000000000000137,-0.0030000000000000027,-0.029999999999999916,0.020000000000000018,-0.08000000000000007
